assembly_fullID_updated,Y1000+_ID,NEW_Tip_ID,Order,Species,Strain_Sequenced,NRRL,CBS,Other,CTH,Total_length,Number_contigs,GC,N50,Ns_per_100_kbp,#_BUSCOs,Complete,Single,Duplicated,Fragmented,Missing,Type strain,Type Species,Y1000+ Project,Genome_Acc,Reads_Acc,Citation Number Reference,Reference,Citation number for Related Pub,Related_Prior_Pub
yHMPu5000034695_lachancea_fermentati_201018,yHMPu5000034695,Lachancea_fermentati,Saccharomycetales,Lachancea fermentati,NRRL Y-1559,NRRL: Y-1559,CBS 707,NA,NA,10108974,225,42.6,212122,9.25,2127,99.53%,99.39%,0.14%,0.19%,0.28%,Yes,No,Yes,JAJLUG000000000,SRR16974293,,New Y1000+,146,"Génolevures Consortium, et al. Comparative genomics of protoploid Saccharomycetaceae. Genome Res. 2009 Oct;19(10):1696–709. "
yHAB137_kazachstania_africana_160519,yHAB137,Kazachstania_africana,Saccharomycetales,Kazachstania africana,NRRL Y-8276,NRRL Y-8276,CBS 2517,NA,yHAB137,11196141,172,36.23,317213,12.5,2114,98.92%,97.19%,1.73%,0.33%,0.75%,Yes,No,Yes,JAJLYG000000000,SRR16974392,,New Y1000+,148,"Gordon JL, et al. Evolutionary erosion of yeast sex chromosomes by mating-type switching accidents. Proc. Natl. Acad. Sci. U.S.A. 108, 20024–20029 (2011)."
yHMPu5000034871_naumovozyma_castellii_180604,yHMPu5000034871,Naumovozyma_castellii,Saccharomycetales,Naumovozyma castellii,NRRL Y-12630,NRRL Y-12630,CBS 4309,NA,NA,11138040,237,36.69,223484,10.27,2129,99.63%,96.96%,2.67%,0.14%,0.23%,Yes,No,Yes,JAJLTJ000000000,SRR16974698,,New Y1000+,148,"Gordon JL, et al. Evolutionary erosion of yeast sex chromosomes by mating-type switching accidents. Proc. Natl. Acad. Sci. U.S.A. 108, 20024–20029 (2011)."
yHMPu5000034872_naumovozyma_dairenensis_180604,yHMPu5000034872,Naumovozyma_dairenensis,Saccharomycetales,Naumovozyma dairenensis,NRRL Y-1353,NRRL Y-1353,CBS 421,NA,NA,13467815,339,34.16,140011,2.74,2132,99.77%,97.43%,2.34%,0.05%,0.19%,Yes,Yes,Yes,JANIWF000000000,SRR16974697,,New Y1000+,148,"Gordon JL, et al. Evolutionary erosion of yeast sex chromosomes by mating-type switching accidents. Proc. Natl. Acad. Sci. U.S.A. 108, 20024–20029 (2011)."
yHMPu5000034874_tetrapisispora_blattae_190924,yHMPu5000034874,Tetrapisispora_blattae,Saccharomycetales,Tetrapisispora blattae,NRRL Y-10934,NRRL Y-10934,CBS 6284,NA,NA,14149647,277,31.6,217205,51.59,2082,97.43%,94.76%,2.67%,0.56%,2.01%,Yes,No,Yes,JAJLTI000000000,SRR16974695,,New Y1000+,148,"Gordon JL, et al. Evolutionary erosion of yeast sex chromosomes by mating-type switching accidents. Proc. Natl. Acad. Sci. U.S.A. 108, 20024–20029 (2011)."
yHMPu5000034580_tetrapisispora_phaffii_180604,yHMPu5000034580,Tetrapisispora_phaffii,Saccharomycetales,Tetrapisispora phaffii,NRRL Y-8282,NRRL Y-8282,CBS 4417,NA,NA,12099843,276,33.56,280321,0.31,2124,99.39%,97.15%,2.25%,0.14%,0.47%,Yes,Yes,Yes,JAJLWD000000000,SRR16974245,,New Y1000+,148,"Gordon JL, et al. Evolutionary erosion of yeast sex chromosomes by mating-type switching accidents. Proc. Natl. Acad. Sci. U.S.A. 108, 20024–20029 (2011)."
yHMPu5000035653_torulaspora_delbrueckii_160613,yHMPu5000035653,Torulaspora_delbrueckii,Saccharomycetales,Torulaspora delbrueckii,NRRL Y-866,NRRL Y-866,CBS 1146,NA,NA,9219344,57,42.01,1055764,5.13,2129,99.63%,99.53%,0.09%,0.14%,0.23%,Yes,Yes,Yes,JAKTVO000000000,SRR16988980,,New Y1000+,148,"Gordon JL, et al. Evolutionary erosion of yeast sex chromosomes by mating-type switching accidents. Proc. Natl. Acad. Sci. U.S.A. 108, 20024–20029 (2011)."
yHMPu5000035043_babjeviella_inositovora_180604,yHMPu5000035043,Babjeviella_inositovora,Serinales,Babjeviella inositovora,NRRL Y-12698,NRRL Y-12698,CBS 8006,NA,NA,15166697,214,48.18,162888,12.37,2118,99.11%,98.78%,0.33%,0.37%,0.51%,Yes,Yes,Yes,JAKTXD000000000,SRR16974617,,New Y1000+,149,"Haase MAB, et al. Repeated horizontal gene transfer of GALactose metabolism genes violates Dollo's law of irreversible loss. Genetics. 2021 Feb 9;217(2):iyaa012. doi: 10.1093/genetics/iyaa012. PMID: 33724406; PMCID: PMC8045682."
yHMPu5000034976_dekkera_anomala_160519.haplomerger2,yHMPu5000034976,Brettanomyces_anomalus_NRRL_Y-17522,Pichiales,Brettanomyces anomalus,NRRL Y-17522,NRRL Y-17522,CBS 8139,NA,NA,13110080,404,39.86,159057,27.15,2057,96.26%,95.09%,1.17%,1.12%,2.62%,Yes,No,Yes,JAJLRS000000000,SRR16974405,,New Y1000+,149,"Haase MAB, et al. Repeated horizontal gene transfer of GALactose metabolism genes violates Dollo's law of irreversible loss. Genetics. 2021 Feb 9;217(2):iyaa012. doi: 10.1093/genetics/iyaa012. PMID: 33724406; PMCID: PMC8045682."
yHMPu5000034975_dekkera_bruxellensis_160519.haplomerger2,yHMPu5000034975,Brettanomyces_bruxellensis,Pichiales,Brettanomyces bruxellensis,NRRL Y-12961,NRRL Y-12961,CBS 74,NA,NA,12566217,1494,39.91,16160,295.71,1997,93.45%,93.31%,0.14%,2.95%,3.60%,Yes,Yes,Yes,JAKTOX000000000,SRR16974407,,New Y1000+,149,"Haase MAB, et al. Repeated horizontal gene transfer of GALactose metabolism genes violates Dollo's law of irreversible loss. Genetics. 2021 Feb 9;217(2):iyaa012. doi: 10.1093/genetics/iyaa012. PMID: 33724406; PMCID: PMC8045682."
yHMPu5000034965_Brettanomyces_naardenensis_SPADES,yHMPu5000034965,Brettanomyces_naardenensis,Pichiales,Brettanomyces naardenensis,NRRL Y-17526,NRRL Y-17526,CBS 6042,NA,NA,11100539,185,44.58,148738,3.47,2087,97.66%,97.10%,0.56%,0.75%,1.59%,Yes,No,Yes,JAKTPB000000000,SRR16974416,,New Y1000+,149,"Haase MAB, et al. Repeated horizontal gene transfer of GALactose metabolism genes violates Dollo's law of irreversible loss. Genetics. 2021 Feb 9;217(2):iyaa012. doi: 10.1093/genetics/iyaa012. PMID: 33724406; PMCID: PMC8045682."
yHMPu5000035336_cyberlindnera_jadinii_180604.haplomerger2,yHMPu5000035336,Cyberlindnera_jadinii,Phaffomycetales,Cyberlindnera jadinii,NRRL Y-1542,NRRL Y-1542,CBS 1600,NA,NA,15887048,3258,44.51,12795,328.31,2011,94.10%,87.32%,6.79%,3.98%,1.92%,Yes,No,Yes,JAKTVW000000000,SRR16988951,,New Y1000+,149,"Haase MAB, et al. Repeated horizontal gene transfer of GALactose metabolism genes violates Dollo's law of irreversible loss. Genetics. 2021 Feb 9;217(2):iyaa012. doi: 10.1093/genetics/iyaa012. PMID: 33724406; PMCID: PMC8045682."
yHMPu5000037913_candida_cylindracea_180604.haplomerger2,yHMPu5000037913,Limtongozyma_cylindracea,Serinales,Limtongozyma cylindracea,NRRL Y-17506,NRRL Y-17506,CBS 6330,NA,NA,9820713,418,63.11,87296,13.24,1929,90.27%,89.89%,0.37%,4.59%,5.15%,Yes,Yes,Yes,JAJLZO000000000,SRR16988680,,New Y1000+,149,"Haase MAB, et al. Repeated horizontal gene transfer of GALactose metabolism genes violates Dollo's law of irreversible loss. Genetics. 2021 Feb 9;217(2):iyaa012. doi: 10.1093/genetics/iyaa012. PMID: 33724406; PMCID: PMC8045682."
yHMPu5000035273_wickerhamomyces_anomalus_180604.haplomerger2,yHMPu5000035273,Wickerhamomyces_anomalus,Phaffomycetales,Wickerhamomyces anomalus,NRRL Y-366,NRRL Y-366,CBS 5759,NA,NA,13705311,618,34.51,54854,29.92,2056,96.21%,95.98%,0.23%,2.62%,1.17%,Yes,No,Yes,JAJMFG000000000,SRR16974551,,New Y1000+,149,"Haase MAB, et al. Repeated horizontal gene transfer of GALactose metabolism genes violates Dollo's law of irreversible loss. Genetics. 2021 Feb 9;217(2):iyaa012. doi: 10.1093/genetics/iyaa012. PMID: 33724406; PMCID: PMC8045682."
yHMPu5000035708_candida_flosculorum_160613.haplomerger2,yHMPu5000035708,Wickerhamomyces_sp._UFMG-CM-Y6624,Phaffomycetales,Wickerhamomyces sp. ,UFMG-CM-Y6624,NA,NA,UFMG-CM-Y6624,NA,13043622,927,34.56,49332,200.27,2077,97.19%,95.69%,1.50%,0.94%,1.87%,Yes,No,Yes,JAKTVJ000000000,SRR16988862,,New Y1000+,149,"Haase MAB, et al. Repeated horizontal gene transfer of GALactose metabolism genes violates Dollo's law of irreversible loss. Genetics. 2021 Feb 9;217(2):iyaa012. doi: 10.1093/genetics/iyaa012. PMID: 33724406; PMCID: PMC8045682."
yHMPu5000026219_lachancea_waltii_180604,yHMPu5000026219,Lachancea_waltii,Saccharomycetales,Lachancea waltii,NRRL Y-8285,NRRL Y-8285,CBS 6430,NA,NA,10270630,202,44.45,141148,1.05,2127,99.53%,99.44%,0.09%,0.19%,0.28%,Yes,No,Yes,JAKTSC000000000,SRR16974516,,New Y1000+,157,"Kellis M, et al. Proof and evolutionary analysis of ancient genome duplication in the yeast Saccharomyces cerevisiae. Nature 428, 617–624 (2004)."
yHMPu5000037927_candida_apicola_180604,yHMPu5000037927,Starmerella_apicola_NRRL_Y-2481,Dipodascales,Starmerella apicola,NRRL Y-2481,NRRL Y-2481,CBS 2868,NA,NA,9880676,81,45.3,836637,7.94,1665,77.91%,77.54%,0.37%,5.62%,16.47%,Yes,No,Yes,JAJLZH000000000,SRR16988666,,New Y1000+,96,"Kominek J, et al. Eukaryotic Acquisition of a Bacterial Operon. Cell. 2019 Mar 7;176(6):1356-1366.e10. doi: 10.1016/j.cell.2019.01.034. Epub 2019 Feb 21. PMID: 30799038; PMCID: PMC7295392."
yHMPu5000034586_candida_geochares_180604,yHMPu5000034586,Starmerella_geochares,Dipodascales,Starmerella geochares,NRRL Y-17073,NRRL Y-17073,CBS 6870,NA,NA,10196627,192,54.26,270736,7.64,1725,80.72%,80.30%,0.42%,5.33%,13.94%,Yes,No,Yes,JANIWL000000000,SRR16974238,,New Y1000+,96,"Kominek J, et al. Eukaryotic Acquisition of a Bacterial Operon. Cell. 2019 Mar 7;176(6):1356-1366.e10. doi: 10.1016/j.cell.2019.01.034. Epub 2019 Feb 21. PMID: 30799038; PMCID: PMC7295392."
yHMPu5000034587_candida_gropengiesseri_180604,yHMPu5000034587,Starmerella_gropengiesseri,Dipodascales,Starmerella gropengiesseri,NRRL Y-17142,NRRL Y-17142,CBS 156,NA,NA,9838726,345,56.54,101358,0.51,1687,78.94%,78.61%,0.33%,6.08%,14.97%,Yes,No,Yes,JAKTRO000000000,SRR16974237,,New Y1000+,96,"Kominek J, et al. Eukaryotic Acquisition of a Bacterial Operon. Cell. 2019 Mar 7;176(6):1356-1366.e10. doi: 10.1016/j.cell.2019.01.034. Epub 2019 Feb 21. PMID: 30799038; PMCID: PMC7295392."
yHMPu5000034588_candida_kuoi_180604,yHMPu5000034588,Starmerella_kuoi,Dipodascales,Starmerella kuoi,NRRL Y-27208,NRRL Y-27208,CBS 7267,NA,NA,10009473,339,44.82,1335633,4.52,1733,81.09%,80.63%,0.47%,5.19%,13.71%,Yes,No,Yes,JAKTRN000000000,SRR16974735,,New Y1000+,96,"Kominek J, et al. Eukaryotic Acquisition of a Bacterial Operon. Cell. 2019 Mar 7;176(6):1356-1366.e10. doi: 10.1016/j.cell.2019.01.034. Epub 2019 Feb 21. PMID: 30799038; PMCID: PMC7295392."
yHMPu5000037883_candida_sorbosivorans_180604,yHMPu5000037883,Starmerella_sorbosivorans,Dipodascales,Starmerella sorbosivorans,NCYC 2938,NA,NA,NCYC 2938,NA,10333497,616,58.56,57873,8.66,1675,78.38%,77.63%,0.75%,6.32%,15.30%,Yes,No,Yes,JANIVK000000000,SRR16988710,,New Y1000+,96,"Kominek J, et al. Eukaryotic Acquisition of a Bacterial Operon. Cell. 2019 Mar 7;176(6):1356-1366.e10. doi: 10.1016/j.cell.2019.01.034. Epub 2019 Feb 21. PMID: 30799038; PMCID: PMC7295392."
yHMPu5000037894_candida_hasegawae_180604,yHMPu5000037894,Wickerhamiella_hasegawae,Dipodascales,Wickerhamiella hasegawae,JCM 12559,NA,CBS 12089,JCM 12559,NA,10561024,780,48.54,387227,17.02,1888,88.35%,87.18%,1.17%,4.12%,7.53%,Yes,No,Yes,JAJLZZ000000000,SRR16988698,,New Y1000+,96,"Kominek J, et al. Eukaryotic Acquisition of a Bacterial Operon. Cell. 2019 Mar 7;176(6):1356-1366.e10. doi: 10.1016/j.cell.2019.01.034. Epub 2019 Feb 21. PMID: 30799038; PMCID: PMC7295392."
yHMPu5000035277_candida_pararugosa_201018,yHMPu5000035277,Wickerhamiella_pararugosa,Dipodascales,Wickerhamiella pararugosa,NRRL Y-17089,NRRL Y-17089,CBS 1010,U62306,NA,9088753,107,50.29,884037,18.25,1821,85.21%,84.79%,0.42%,4.54%,10.25%,Yes,No,Yes,JAJMFF000000000,SRR16974546,,New Y1000+,96,"Kominek J, et al. Eukaryotic Acquisition of a Bacterial Operon. Cell. 2019 Mar 7;176(6):1356-1366.e10. doi: 10.1016/j.cell.2019.01.034. Epub 2019 Feb 21. PMID: 30799038; PMCID: PMC7295392."
yHMPu5000026142_citeromyces_matritensis_160519.haplomerger2,yHMPu5000026142,Citeromyces_matritensis,Pichiales,Citeromyces matritensis,NRRL Y-2407,NRRL Y-2407,CBS 2764,NA,NA,17912095,2113,43.39,36549,178.69,2098,98.18%,95.09%,3.09%,1.03%,0.80%,Yes,Yes,Yes,JAJLWQ000000000,SRR16974530,,New Y1000+,119,"Krassowski T, et al. 2018. Evolutionary instability of CUG-Leu in the genetic code of budding yeasts. Nat Commun 9: 1887. Shen XX, et al. Tempo and Mode of Genome Evolution in the Budding Yeast Subphylum. Cell. 2018 Nov 29;175(6):1533-1545.e20. doi: 10.1016/j.cell.2018.10.023. Epub 2018 Nov 8. PMID: 30415838; PMCID: PMC6291210."
yHMPu5000034607_saccharomycopsis_capsularis_180604,yHMPu5000034607,Saccharomycopsis_capsularis,Ascoideales,Saccharomycopsis capsularis,NRRL Y-17639,NRRL Y-17639,CBS 2519,NA,NA,17455846,272,44.35,338107,0.57,2051,95.98%,93.82%,2.15%,1.31%,2.71%,Yes,No,Yes,JANIWK000000000,SRR16974632,,New Y1000+,119,"Krassowski T, et al. 2018. Evolutionary instability of CUG-Leu in the genetic code of budding yeasts. Nat Commun 9: 1887. Shen XX, et al. Tempo and Mode of Genome Evolution in the Budding Yeast Subphylum. Cell. 2018 Nov 29;175(6):1533-1545.e20. doi: 10.1016/j.cell.2018.10.023. Epub 2018 Nov 8. PMID: 30415838; PMCID: PMC6291210."
yHMPu5000040959_metschnikowia_aberdeeniae_201018,yHMPu5000040959,Metschnikowia_aberdeeniae,Serinales,Metschnikowia aberdeeniae,NRRL Y-27921,NRRL Y-27921,CBS 10289,DQ266429,NA,10563652,143,48.66,273652,4.21,2105,98.50%,98.41%,0.09%,0.61%,0.89%,Yes,No,Yes,JAJMIP000000000,SRR16988848,,New Y1000+,160,"Lachance MA, et al. A stable phylogeny of the large-spored Metschnikowia clade. Yeast. 2016 Jul;33(7):261-75. doi: 10.1002/yea.3163. Epub 2016 May 10."
yHMPu5000040956_metschnikowia_borealis_201018,yHMPu5000040956,Metschnikowia_borealis,Serinales,Metschnikowia borealis,NRRL Y-27451,NRRL Y-27451,CBS 8431,DQ641243,NA,20365851,2581,43.29,17715,30.93,2058,96.30%,95.84%,0.47%,2.20%,1.50%,Yes,No,Yes,JAJMIR000000000,SRR16988851,,New Y1000+,160,"Lachance MA, et al. A stable phylogeny of the large-spored Metschnikowia clade. Yeast. 2016 Jul;33(7):261-75. doi: 10.1002/yea.3163. Epub 2016 May 10."
yHMPu5000040955_metschnikowia_bowlesiae_201018,yHMPu5000040955,Metschnikowia_bowlesiae,Serinales,Metschnikowia bowlesiae,NRRL Y-63671,NRRL Y-63671,CBS 12940,KF647738,NA,16586724,1187,48.7,46986,20.91,2089,97.75%,97.61%,0.14%,1.17%,1.08%,Yes,No,Yes,JAKTZH000000000,SRR16988852,,New Y1000+,160,"Lachance MA, et al. A stable phylogeny of the large-spored Metschnikowia clade. Yeast. 2016 Jul;33(7):261-75. doi: 10.1002/yea.3163. Epub 2016 May 10."
yHMPu5000040954_metschnikowia_cerradonensis_201018,yHMPu5000040954,Metschnikowia_cerradonensis,Serinales,Metschnikowia cerradonensis,NRRL Y-48067,NRRL Y-48067,CBS 10409,DQ641237,NA,19947555,3553,42.97,13616,6.33,2091,97.85%,97.85%,0.00%,1.26%,0.89%,Yes,No,Yes,JAKTZI000000000,SRR16988853,,New Y1000+,160,"Lachance MA, et al. A stable phylogeny of the large-spored Metschnikowia clade. Yeast. 2016 Jul;33(7):261-75. doi: 10.1002/yea.3163. Epub 2016 May 10."
yHMPu5000040943_metschnikowia_continentalis_201018,yHMPu5000040943,Metschnikowia_continentalis,Serinales,Metschnikowia continentalis,NRRL Y-27449,NRRL Y-27449,CBS 8429,DQ641238,NA,22227415,2720,42.41,19364,33.29,2094,97.99%,97.75%,0.23%,1.31%,0.70%,Yes,No,Yes,JAJMIW000000000,SRR16988890,,New Y1000+,160,"Lachance MA, et al. A stable phylogeny of the large-spored Metschnikowia clade. Yeast. 2016 Jul;33(7):261-75. doi: 10.1002/yea.3163. Epub 2016 May 10."
yHMPu5000040945_metschnikowia_dekortorum_201018,yHMPu5000040945,Metschnikowia_dekortorum,Serinales,Metschnikowia dekortorum,NRRL Y-27430,NRRL Y-27430,CBS 9063,AY0560036,NA,16353788,1510,48.78,24507,130.25,2012,94.15%,94.01%,0.14%,4.40%,1.45%,Yes,No,Yes,JAKTZL000000000,SRR16988888,,New Y1000+,160,"Lachance MA, et al. A stable phylogeny of the large-spored Metschnikowia clade. Yeast. 2016 Jul;33(7):261-75. doi: 10.1002/yea.3163. Epub 2016 May 10."
yHMPu5000040948_metschnikowia_hamakuensis_201018,yHMPu5000040948,Metschnikowia_hamakuensis,Serinales,Metschnikowia hamakuensis,NRRL Y-27834,NRRL Y-27834,CBS 10056,AY796026,NA,18755151,1908,43.98,26102,28.26,2069,96.82%,96.68%,0.14%,1.97%,1.22%,Yes,No,Yes,JAJMIU000000000,SRR16988858,,New Y1000+,160,"Lachance MA, et al. A stable phylogeny of the large-spored Metschnikowia clade. Yeast. 2016 Jul;33(7):261-75. doi: 10.1002/yea.3163. Epub 2016 May 10."
yHMPu5000040950_metschnikowia_hibisci_200128,yHMPu5000040950,Metschnikowia_hibisci,Serinales,Metschnikowia hibisci,NRRL Y-27453,NRRL Y-27453,CBS 8433,AF034128,NA,11335735,227,42.23,518353,5.71,2108,98.64%,98.55%,0.09%,0.66%,0.70%,Yes,No,Yes,JAKTZJ000000000,SRR16988856,,New Y1000+,160,"Lachance MA, et al. A stable phylogeny of the large-spored Metschnikowia clade. Yeast. 2016 Jul;33(7):261-75. doi: 10.1002/yea.3163. Epub 2016 May 10."
yHMPu5000040951_metschnikowia_ipomoeae_201018,yHMPu5000040951,Candida_ipomoeae,Serinales,Candida ipomoeae,NRRL Y-27455,NRRL Y-27455,CBS 8466,AF050148,NA,19124940,1231,43.62,34867,30.33,2113,98.88%,98.69%,0.19%,0.51%,0.61%,Yes,No,Yes,JAJMIT000000000,SRR16988855,,New Y1000+,160,"Lachance MA, et al. A stable phylogeny of the large-spored Metschnikowia clade. Yeast. 2016 Jul;33(7):261-75. doi: 10.1002/yea.3163. Epub 2016 May 10."
yHMPu5000040953_metschnikowia_kipukae_201018,yHMPu5000040953,Metschnikowia_kipukae,Serinales,Metschnikowia kipukae,NRRL Y-27474,NRRL Y-27474,CBS 9147,AF514294,NA,11158842,165,45.21,306648,1.99,2114,98.92%,98.83%,0.09%,0.56%,0.51%,Yes,No,Yes,JAJMIS000000000,SRR16988854,,New Y1000+,160,"Lachance MA, et al. A stable phylogeny of the large-spored Metschnikowia clade. Yeast. 2016 Jul;33(7):261-75. doi: 10.1002/yea.3163. Epub 2016 May 10."
yHMPu5000040941_metschnikowia_lochheadii_201018,yHMPu5000040941,Metschnikowia_lochheadii,Serinales,Metschnikowia lochheadii,NRRL Y-27457,NRRL Y-27457,CBS 8807,AF279304,NA,19992080,2370,42.26,20181,38.52,2094,97.99%,97.38%,0.61%,1.36%,0.66%,Yes,No,Yes,JAKTZN000000000,SRR16988892,,New Y1000+,160,"Lachance MA, et al. A stable phylogeny of the large-spored Metschnikowia clade. Yeast. 2016 Jul;33(7):261-75. doi: 10.1002/yea.3163. Epub 2016 May 10."
yHMPu5000040795_metschnikowia_matae_201018,yHMPu5000040795,Metschnikowia_matae_var._maris_NRRL_Y-63737,Serinales,Metschnikowia matae var. maris,NRRL Y-63737,NRRL Y-63737,CBS 13985,KP241777,NA,20433156,3235,41.3,14741,13.99,2069,96.82%,96.77%,0.05%,2.01%,1.17%,Yes,No,Yes,JAKTZV000000000,SRR16988955,,New Y1000+,160,"Lachance MA, et al. A stable phylogeny of the large-spored Metschnikowia clade. Yeast. 2016 Jul;33(7):261-75. doi: 10.1002/yea.3163. Epub 2016 May 10."
yHMPu5000040940_metschnikowia_matae_201018,yHMPu5000040940,Metschnikowia_matae_var._matae_NRRL_Y-63736,Serinales,Metschnikowia matae var. matae,NRRL Y-63736,NRRL Y-63736,CBS 13986,AKP241776,NA,21516280,2456,41,19979,24.17,2095,98.03%,97.66%,0.37%,1.31%,0.66%,Yes,No,Yes,JAKTZO000000000,SRR16988893,,New Y1000+,160,"Lachance MA, et al. A stable phylogeny of the large-spored Metschnikowia clade. Yeast. 2016 Jul;33(7):261-75. doi: 10.1002/yea.3163. Epub 2016 May 10."
